Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2012-12-20 08:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-11-29 08:32:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-11-22 08:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-09-16 16:23:39,Running,,11.33,1:18:40,6:57,8.64,855.0,118.55,,,2012-09-16-1623.gpx
2012-09-12 12:10:31,Running,,9.62,1:03:15,6:35,9.13,722.0,87.14,,,2012-09-12-1210.gpx
2012-08-31 12:20:21,Swimming,,1.00,0:40:00,40:00,1.50,299.0,,,,
2012-08-31 11:52:22,Running,,2.89,0:22:18,7:44,7.76,255.0,52.75,,,2012-08-31-1152.gpx
2012-08-29 17:01:14,Running,,11.39,1:15:43,6:39,9.02,970.0,102.91,,,2012-08-29-1701.gpx
2012-08-26 16:19:31,Running,,10.24,1:03:17,6:11,9.71,838.0,81.31,,,2012-08-26-1619.gpx
2012-08-25 16:30:39,Swimming,,0.90,0:40:00,44:27,1.35,194.0,,,,
2012-08-17 15:00:44,Swimming,,0.80,0:40:00,50:00,1.20,194.0,,,,
2012-08-15 17:43:14,Running,,10.37,1:09:30,6:42,8.95,881.0,81.73,,,2012-08-15-1743.gpx
2012-08-13 12:20:46,Swimming,,0.75,0:30:00,40:00,1.50,225.0,,,,
2012-08-07 12:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-08-03 12:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-31 12:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-27 12:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-23 12:30:00,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-20 12:07:48,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-19 18:59:51,Running,,5.16,0:30:24,5:54,10.18,432.0,62.86,,,2012-07-19-1859.gpx
2012-07-17 12:08:38,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-07-16 18:56:13,Running,,8.84,1:00:28,6:50,8.77,757.0,97.99,,,2012-07-16-1856.gpx
2012-07-13 12:30:07,Swimming,,0.00,0:40:00,,,194.0,,,,
2012-07-10 12:30:40,Swimming,,0.00,0:40:00,,,194.0,,,,
2012-07-09 19:21:50,Running,,6.33,0:43:09,6:49,8.79,540.0,81.36,,,2012-07-09-1921.gpx
2012-07-06 12:00:16,Swimming,,0.00,0:40:00,,,194.0,,,,
2012-07-03 12:28:12,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-06-27 12:25:55,Swimming,,0.00,0:30:00,,,145.0,,,,
2012-06-22 18:57:37,Elliptical,,17.00,0:47:30,2:48,21.47,1034.0,,,,
2012-05-31 20:13:33,Elliptical,,10.53,0:32:30,3:05,19.44,708.0,,,,
2012-04-08 20:26:25,Elliptical,,11.15,0:31:11,2:48,21.45,679.0,,,,
2012-03-29 18:46:43,Running,,4.98,0:33:12,6:40,8.99,434.0,94.73,,,2012-03-29-1846.gpx
2012-03-23 16:49:34,Running,,3.67,0:24:55,6:48,8.83,295.0,40.28,,,2012-03-23-1649.gpx
