title,date_start,date_end,rating,image_url
The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance,2013-01-13,2013-01-21,0,http://d.gr-assets.com/books/1320565180m/905.jpg
Fail-Safe Investing: Lifelong Financial Security in 30 Minutes,2012-12-26,2013-01-09,3,http://d.gr-assets.com/books/1316738629m/82103.jpg
Permutation City,2012-11-19,2012-12-22,4,http://d.gr-assets.com/books/1287341300m/156784.jpg
Fahrenheit 451,2012-10-25,2012-11-19,3,http://d.gr-assets.com/books/1351643740m/4381.jpg
The Diamond Age,2012-10-21,2012-11-28,4,http://d.gr-assets.com/books/1320415915m/827.jpg
Business Model Generation: A Handbook For Visionaries Game Changers And Challengers,2012-09-21,2012-10-19,3,http://d.gr-assets.com/books/1351862168m/7723797.jpg
Personal Development for Smart People: The Conscious Pursuit of Personal Growth,2012-08-21,2012-09-19,4,http://d.gr-assets.com/books/1328770518m/3074052.jpg
Results Without Authority: Controlling a Project When the Team Doesn't Report to You - A Project Manager's Guide,2012-07-21,2012-08-19,1,http://www.goodreads.com/assets/nocover/111x148.png
Competitive Strategy: Techniques for Analyzing Industries and Competitors,2012-06-21,2012-07-19,4,http://www.goodreads.com/assets/nocover/111x148.png
Little Red Book of Selling: 12.5 Principles of Sales Greatness: How to Make Sales Forever,2012-05-21,2012-07-19,2,http://www.goodreads.com/assets/nocover/111x148.png
The Dip: A Little Book That Teaches You When to Quit,2012-04-21,2012-05-19,2,http://d.gr-assets.com/books/1311282216m/324748.jpg
Dune (Dune Chronicles #1),2012-03-21,2012-04-19,3,http://www.goodreads.com/assets/nocover/111x148.png
Getting Things Done: The Art of Stress-Free Productivity,2012-02-21,2012-03-19,3,http://d.gr-assets.com/books/1312474060m/1633.jpg
